epoch,train_loss,validation_loss,learning_rate,epoch_time_seconds
1,0.028637893839674924,0.015272118576485309,0.001,126.24747209999987
2,0.012885691629066675,0.011291799676972766,0.001,44.24076100000093
3,0.010816435694129186,0.009844939793454164,0.001,37.86010649999662
4,0.009402655220948084,0.008374750984332525,0.001,35.1724486000021
5,0.00809239575498034,0.006946997787905798,0.001,33.69156260000091
6,0.006926863092405981,0.006437626996138635,0.001,35.249357799999416
7,0.006473311423487531,0.005986171410306816,0.001,36.10990939999829
8,0.006040782382076823,0.00587467426713753,0.001,39.283243999998376
9,0.005821347765472643,0.0055872610638244965,0.001,37.42797319999954
10,0.0056502233384892195,0.005349877386907191,0.001,45.427769300000364
11,0.005393643883749894,0.00528703347423427,0.001,45.96117679999952
12,0.005255851858018108,0.0049804967432332085,0.001,43.851641199998994
13,0.005081168881650183,0.004834161252255924,0.001,43.616811699997925
14,0.004948259461966437,0.004735161761022773,0.001,44.85671470000307
15,0.004776345289998929,0.0045623778627425365,0.001,44.77915050000229
16,0.004646980783470726,0.004478350671571355,0.001,44.29014839999945
17,0.004528659579079357,0.004261994815134221,0.001,44.33289579999837
18,0.004390464734659443,0.004193792753630411,0.001,43.500138600000355
19,0.004295120815485969,0.00425797874741965,0.001,44.96346320000157
20,0.004191964120200138,0.004187016818774805,0.001,44.199798600002396
21,0.004134609492755119,0.004278814851308348,0.001,44.71526340000128
22,0.00402120274142494,0.003926409225335963,0.001,43.3730994999969
23,0.003978226278694441,0.0037396773321841533,0.001,43.55855599999995
24,0.0038193778912215108,0.0038300433706090517,0.001,39.365754800001014
25,0.003807319491671341,0.003630788622711476,0.001,35.477009800000815
26,0.0037670261477619105,0.0035795485128276446,0.001,45.67530010000337
27,0.00374137458105657,0.0036399418933131984,0.001,48.187894400001824
28,0.003702424167384344,0.0035922710959017906,0.001,48.63773279999805
29,0.0036838885378261284,0.003954406827688217,0.001,49.24154920000001
30,0.0036612216760283115,0.0035605253435151522,0.001,41.68073910000021
31,0.003637829924789115,0.0038464302157719342,0.001,39.03217280000172
32,0.0036272063907256957,0.003757527371746415,0.001,43.99532109999927
33,0.003562823475348011,0.0035461252220526304,0.001,44.34433260000151
34,0.0035256044500394557,0.003611057106775663,0.001,40.785123899997416
35,0.003539710789433726,0.0034477426069956,0.001,39.98419410000133
36,0.0035029281757662277,0.0034859722015501077,0.001,46.02389209999819
37,0.0034854043180719946,0.003567916469108983,0.001,51.03726599999936
38,0.0034639447763465166,0.0033447627631856824,0.001,45.37765489999947
39,0.0034643400311765355,0.003562470088785723,0.001,40.846660899998824
40,0.003430199862319643,0.003512242627792832,0.001,42.31811509999898
41,0.0034281650060811,0.0033088369358008052,0.001,41.003861700002744
42,0.0034232340438770277,0.0033040963227508185,0.001,40.92922109999927
43,0.0034151345681787248,0.0034552828721843864,0.001,39.88172449999911
44,0.0035020475760988243,0.0033082996926272396,0.001,41.243555000000924
45,0.003420891839428673,0.0032863793244888614,0.001,40.726507699997455
46,0.003371878981796997,0.003326789334211617,0.001,41.42597449999812
47,0.00338864336533858,0.0033118165852246023,0.001,39.77709519999917
48,0.0033452196545595155,0.003254214081180776,0.001,40.498730900002556
49,0.003348860779876313,0.0032085731495604957,0.001,39.35126559999844
50,0.0034017580834513747,0.0032704850780850485,0.001,38.851223599998775
51,0.003317236494945862,0.0033057485205016984,0.001,39.60959860000003
52,0.0033248663500757172,0.0032693462379387015,0.001,38.32611140000154
53,0.003340105062755645,0.0035694515801194355,0.0005,38.79897030000211
54,0.0031875932752128398,0.0031318956568648143,0.0005,38.39496959999815
55,0.003168860589874442,0.0031265334972430487,0.0005,38.479764100000466
56,0.0031741847012019034,0.003134926926762055,0.0005,36.76072679999925
57,0.0031922625812321123,0.00312444126138948,0.0005,37.87428899999941
58,0.003182940000704029,0.0032441342430657868,0.0005,38.42019310000251
59,0.0031919494146820777,0.003184490795808413,0.0005,38.01094260000173
60,0.0031750869983648996,0.003138179802207816,0.0005,40.58561980000013
61,0.0031818306748043336,0.0031414640393998103,0.00025,39.966384900002595
62,0.0031243195042166003,0.0030867911985510248,0.00025,37.947503499999584
63,0.003120178192915102,0.003082120414019954,0.00025,38.38174599999911
64,0.0031197492498904467,0.0030941229469160576,0.00025,38.9260729000016
65,0.003120004663313502,0.0030898798343747163,0.00025,39.591201100000035
66,0.0031200370853102324,0.00308621798427362,0.00025,38.47654279999915
67,0.003117559628512622,0.0030763486467191583,0.00025,38.43419089999952
68,0.0031191833573050737,0.0030741417203610467,0.00025,38.558151799999905
69,0.003114272186127602,0.003073161696310275,0.00025,37.361750199997914
70,0.0031133551839296098,0.0030798573661241168,0.00025,40.99360400000296
71,0.0031121586155175894,0.003086009836631648,0.00025,40.220611999997345
72,0.0031062365478455242,0.003064128567305163,0.00025,39.82085200000074
73,0.0031048063158204235,0.003075268909130364,0.00025,38.416276500000095
74,0.003103421767857158,0.003088383231485306,0.00025,39.12027239999952
75,0.003099847526583791,0.0030527417223120846,0.00025,40.94979369999783
76,0.0031003254798524682,0.003050047796944168,0.00025,41.134123899999395
77,0.003097178314686969,0.0030612016380242766,0.00025,41.3458959999989
78,0.0030926325606310894,0.003059879177689048,0.00025,41.635266400000546
79,0.0030918451717981935,0.0030502928578418857,0.00025,41.63986490000025
80,0.0030928361251747758,0.0030561676908512827,0.000125,31.33423369999946
