experiment,mse,psnr,ssim,compression_ratio,parameter_count
Standard Autoencoder,0.004134354564783003,24.560325775673725,0.7253569589482806,24,265571
Noisy Input,0.00904314282299813,20.448555945008806,0.48794176118412935,N/A,N/A
Denoised Output,0.0037564856584409428,24.934111623293873,0.7324289489088552,24,265571
