epoch,train_reconstruction_loss,train_kl_loss,train_total_loss,validation_reconstruction_loss,validation_kl_loss,validation_total_loss,beta,epoch_time_seconds
1,0.04381707573767291,27.542223449171196,0.04657129803893925,0.03252583394815503,40.088727164722144,0.03653470663861795,0.0001,29.020885582999995
2,0.03352262153630888,25.578313184243502,0.03863828412572498,0.032362775361248104,27.515643863798953,0.03786590396885388,0.0002,28.402210268999966
3,0.03268875433037127,19.252747119026573,0.0384645787330338,0.032088541171767494,19.04842379128454,0.037803068394766805,0.0003,27.411471707000032
4,0.032551407496342576,15.168056483500946,0.038618629959877054,0.03205166171141457,15.02675720198714,0.03806236413077119,0.0004,28.221465670000043
5,0.03246524003571657,13.1048040094084,0.03901764226239913,0.031879026261620994,13.024048210450509,0.03839105041599173,0.0005,27.796230200000082
6,0.03176026402604539,12.154653783778777,0.03905305668694787,0.031550536566191445,11.852802631466888,0.03866221856554265,0.0006,27.725492413999973
7,0.032149863433375496,10.887622246574843,0.03977119864332716,0.03224029859831167,10.636913787486941,0.039686137711900986,0.0007,28.016379463999897
8,0.03276452143567942,9.86816447075469,0.040659052855836174,0.03292183250377849,9.620815700506812,0.04061848487523847,0.0008,30.925512175999984
9,0.033323703210121645,8.995909989811691,0.04142002208181578,0.03422934239056851,8.277710816824914,0.04167928174138069,0.0009000000000000001,27.73405261000005
10,0.0339211162715509,8.236839056825044,0.042157955653332635,0.03383378793995426,8.242252115971443,0.04207604041374259,0.001,27.669179385999996
11,0.033904833400607244,8.101460307802782,0.042006294098540314,0.033637089107429755,8.23932166633848,0.04187641114815597,0.001,27.81844116800005
12,0.03386636438651911,8.113595973756818,0.04197996077154123,0.03378593724764427,8.121651042591441,0.041907588630347624,0.001,27.310948588999963
13,0.03376222010638611,8.072674484296131,0.041834894916209335,0.033338620518403125,8.528655304213155,0.04186727618503268,0.001,27.585226483000042
14,0.03371319849284562,8.098270609046702,0.04181146938037359,0.033886530261337124,7.9930718565087995,0.0418796023436631,0.001,27.81006955099997
15,0.03360916518037749,8.065649257456865,0.04167481468207839,0.03335933536921193,8.25373174977857,0.04161306756526925,0.001,27.571731745999955
16,0.03347365746310451,8.124466132469653,0.04159812396930136,0.033190303889691956,8.51420323289222,0.041704507398932986,0.001,28.413939558999914
17,0.033485898059093536,8.079177509104815,0.04156507579514827,0.0334924324228572,8.481333916081434,0.04197376679794481,0.001,28.44109599100011
18,0.03342999193568462,8.110866245084008,0.041540858600107214,0.03351723255459652,8.132514199545216,0.04164974711221066,0.001,28.80488398500006
19,0.03337851270257009,8.08983785946804,0.041468350994289936,0.03351819508927569,8.102213167993009,0.041620408710541235,0.001,27.497182216000056
20,0.03331326324058146,8.13401002462696,0.04144727356166559,0.0334978130966992,7.934621534690292,0.04143243514584184,0.001,27.942046603000108
21,0.03328657910852173,8.16792255112161,0.041454502032270246,0.0332800143301865,8.772970687511355,0.042052985639577184,0.001,28.724295667999968
22,0.03327514657651581,8.118429465634097,0.041393576378460514,0.03298555309815336,8.912461928030906,0.04189801549275128,0.001,27.382363384999962
23,0.03326754175244682,8.107058143183707,0.041374600320919455,0.03340125115426852,8.149131615620586,0.04155038301901888,0.001,27.4411758010001
24,0.03322637787643538,8.14401202779664,0.041370390205394104,0.0330827420313565,8.304883013315987,0.041387625400914195,0.001,27.68240394700001
25,0.03319774607316689,8.139432108091741,0.04133717851335708,0.03336120540193473,7.988740610521893,0.041349946310542854,0.001,27.70452982100005
26,0.033156607829093396,8.125731451784093,0.04128233971304154,0.033900196965287656,7.613587234287383,0.04151378444397928,0.001,28.228446421999934
27,0.033097009521952304,8.15893489993172,0.04125594493183112,0.033256453026802794,8.080693309453274,0.04133714664625063,0.001,27.590774095999905
28,0.03313256734022333,8.125165778189256,0.0412577335774426,0.032859127661390486,8.463039466745002,0.04132216738785044,0.001,29.683469360000117
29,0.03308557947319199,8.102150315471576,0.04118773023242454,0.03330439649695574,8.110520195507348,0.04141491712966883,0.001,28.056915656
30,0.03303184057770472,8.0955574993639,0.04112739855273799,0.032943779787729964,8.276726557386853,0.04122050649173416,0.001,29.18095415400012
31,0.03307551201875928,8.151912906944819,0.041227425324349816,0.03268580540353098,8.466818365939828,0.04115262397625986,0.001,29.23373020400004
32,0.03303133411626179,8.08778209729481,0.04111911660885082,0.032816949113415865,8.325909902883131,0.041142859431200246,0.001,29.058985645999883
33,0.03297339867830006,8.160414892522827,0.04113381393127236,0.03233321793928711,9.18893929818216,0.041522158030223646,0.001,31.582540291999976
34,0.032948281188175874,8.138583105309769,0.04108686483088598,0.03325562599660478,7.985314540580766,0.04124094084314766,0.001,32.24389181000015
35,0.032920993791127395,8.106391707471111,0.041027385954948675,0.03302299804654736,8.089001659611062,0.041112000055721395,0.001,29.862303392000058
36,0.03288775244780467,8.099215369046341,0.04098696817864378,0.03322478705115348,8.048858082067639,0.04127364546596122,0.001,27.84052801200005
37,0.03290047683960854,8.102991695123242,0.04100346886136254,0.03278995693580545,8.28778235050387,0.041077739624089976,0.001,28.419905456999913
38,0.032872591532201484,8.085509042858673,0.04095810100199952,0.0334814176530465,7.7496935277862224,0.04123111162137784,0.001,27.85689028700017
39,0.03285061649530957,8.10482978302382,0.04095544657614061,0.03240550003835565,8.66537173152222,0.04107087218925262,0.001,27.57284420100018
40,0.03287243011111176,8.108101927734582,0.040980532456564876,0.032969652582550656,8.130434624992516,0.0411000874436935,0.001,29.586197711000068
