version,mse,psnr,ssim,fid
V1 baseline,0.029098848117974214,15.789472667661832,0.287553520353381,339.5789794921875
V2 KL warm-up,0.028168018482011167,15.934777124235545,0.2901890495295851,321.3583068847656
