epoch,generator_loss,discriminator_loss,epoch_time_seconds
1,8.184538966547834,0.3808615870338722,44.16509737999991
2,6.712683080756752,0.19117688238076921,22.006417615000032
3,4.869225356265576,0.3020013435913699,21.21143102999997
4,4.1138981084754,0.41833389256774944,21.081753720999927
5,4.225826360883504,0.3187030309634487,21.418235936000087
6,4.562983698218408,0.2716241505839964,21.514786835999985
7,4.432828804002191,0.2653035874730044,20.593466985999953
8,4.123213861980577,0.34127534240701773,21.411967683000057
9,3.9444280479946277,0.3538021348471189,21.926006985999948
10,4.044401972833341,0.3329133689403534,20.898560030999988
11,4.14014952635243,0.2797952312568243,21.524269515000015
12,4.149868836368087,0.2903684305339834,22.063441804000036
13,4.010830751300729,0.31537861844701487,21.372400115000005
14,3.988445368996502,0.32602719103332856,21.90774543000009
15,3.8139901953021975,0.35227490265439027,21.95723699000007
16,3.7501549690309233,0.3193136122975036,22.161422595999966
17,4.052039926939637,0.2896411997558427,20.66446780800004
18,3.9316566129670525,0.28596674188645216,22.23435538600006
19,3.8516488310194363,0.33179788454605713,21.76166166500002
20,3.7128298125997947,0.31327518576035535,21.156224468000005
21,3.548019845990369,0.3048293766749166,21.466219043000024
22,3.3880659341812134,0.3021799792555997,21.80623509499992
23,3.361940106771288,0.34021664155225684,22.10380279800006
24,3.226932473861388,0.3403710408584915,21.00875258499991
25,3.2810676341509297,0.298515613387971,22.178136913000117
26,3.253856533200201,0.3327540048282512,22.066687697999896
27,3.2961199753475885,0.2669045291025273,21.448973898000077
28,3.288084054080239,0.2842962118613459,21.541642283999863
29,3.310781600212094,0.37027257724399987,22.011580613999968
30,3.3741403796376974,0.2747926720193703,22.055472239999972
