epoch,train_loss,train_mse,train_ssim,validation_loss,validation_mse,validation_ssim,validation_edge_loss,learning_rate,epoch_time_seconds
1,0.23117322835687332,0.03012165248284321,0.42542901180878634,0.17622892101773752,0.0182815172943832,0.5733714042581917,0.04010117717134524,0.0003,67.36749454300002
2,0.15779652237082123,0.0143964782502768,0.609317072642079,0.14870036105146872,0.013083283539396764,0.6344939990729157,0.0386100422913882,0.0003,51.99130057299999
3,0.1424146019521413,0.012766038715873137,0.6557558526674186,0.13764906761258147,0.01258511935020098,0.6750932590401953,0.038053356772623406,0.0003,55.92719354099995
4,0.1316502561824373,0.010803344298263807,0.6805109431762523,0.11764901473204631,0.007423255785543622,0.7018207505691884,0.0371901636301337,0.0003,54.12854138199987
5,0.1125319052778716,0.007027862922289532,0.7166766137930977,0.10656127755788114,0.006548291647188507,0.7337619837444378,0.03657707750765768,0.0003,54.02320370699999
6,0.10303531667114249,0.006187712817135376,0.7439998746323289,0.09952581124124264,0.006051498425860611,0.7541483844813535,0.03549357943126565,0.0003,53.85739224400004
7,0.09573998252269501,0.005601725739765478,0.7653616387603777,0.092361939602372,0.005221023434973922,0.7732747436577876,0.03478985349106234,0.0003,53.85642268400011
8,0.09063576299060107,0.005223399249252484,0.7807203544495734,0.08833426766365325,0.005176182779194059,0.7892849440302455,0.03448573661373483,0.0003,54.23409012100001
9,0.08623530596730933,0.004915854840993983,0.7935921218360132,0.08321250381290786,0.00454237553474137,0.7989875630142825,0.033786672901905616,0.0003,55.176545187999864
10,0.08266520949749283,0.004668376402083536,0.8043159741372511,0.0795870336839815,0.004412269542667125,0.8118583621736812,0.03333487649139088,0.0003,55.16058652700008
11,0.07978665686443465,0.004487862297895945,0.81336649162178,0.07784928954806943,0.004268821856562229,0.817419236860618,0.032895746666457636,0.0003,53.9153733390001
12,0.07670222064174315,0.004264590536515278,0.8218225469810642,0.0758471090590727,0.004278004586885646,0.8253238662352773,0.03285510401708127,0.0003,53.77927732300009
13,0.07471249219650321,0.004121735371598639,0.8275098418325422,0.07321906051978501,0.004035369481253447,0.8306654616087739,0.032430580181185845,0.0003,53.88069307599994
14,0.07294627616555342,0.003984814092816441,0.8322901779770986,0.07360751955252118,0.004150132209566632,0.8327581225943615,0.032311138379964466,0.0003,54.85264727100002
15,0.07201097684227867,0.0038130121423714156,0.8341766486756529,0.06981724132065037,0.0035058061993950645,0.8372258240274345,0.0322472904956492,0.0003,54.92047629900003
16,0.0679598460566687,0.003212294380770129,0.840556948627783,0.06743577514907019,0.0032073791999267473,0.8417713248956531,0.03170009551227219,0.0003,54.60537930800001
17,0.06473331450656614,0.0029057015796188825,0.8472155694918346,0.062491810173741356,0.0027017718964663924,0.851112016915771,0.03147412573497341,0.0003,53.77422446199989
18,0.06274758190895396,0.002766042406484063,0.8520611533087216,0.06158495659745017,0.002679801882730982,0.8542667158562336,0.03135402857406699,0.0003,54.23217207700009
19,0.06116545041042168,0.0026596635908082483,0.8564534323401791,0.06162213567195433,0.002698884571038076,0.8546957494592565,0.031297338248307306,0.0003,54.07062916099994
20,0.05969360609489281,0.0025648692565298265,0.8604285258939015,0.05886918709595662,0.0024962484015518087,0.8620064171625746,0.030823000342472914,0.0003,55.202799973999845
21,0.05808696380709873,0.00246316204717676,0.8648250120277448,0.05675324306175522,0.002361406505218142,0.8669950240006155,0.03037989953922671,0.0003,54.88130308599966
22,0.05679816643740151,0.0023887039038815693,0.8685344905842471,0.05587711528605185,0.002248339927962038,0.8697976148657769,0.030119882483058955,0.0003,53.76354383199987
23,0.05549703344685845,0.002317149265582799,0.8722643852503896,0.055033263472749616,0.002292013215196435,0.8738445015840752,0.029929283604687416,0.0003,53.679884926999875
24,0.054612959620974205,0.0022667990129658297,0.8749000799885422,0.053315718364892,0.0022008026936278535,0.8781973410862445,0.029967404555442723,0.0003,53.963263449999886
25,0.05351736682677053,0.002203085771756561,0.8778937593996863,0.05254059226643964,0.0021381061051600077,0.8794596164977576,0.029591735822579825,0.0003,54.83796985899971
26,0.0522994173570438,0.0021299867116079357,0.8810165233817268,0.05160917239322723,0.002040249482584806,0.8813661147877732,0.029340093092988965,0.0003,55.22380906699982
27,0.05181880260006623,0.0021066606410231658,0.8827850251478625,0.05083249123416542,0.002033388982458044,0.8845846194293484,0.029265549750585134,0.0003,54.41436614800023
28,0.05100121133847928,0.002066778880148485,0.8852436823051081,0.05033158676316824,0.002023852272766463,0.8865656972435514,0.029134149294953015,0.0003,53.99447911499965
29,0.04998330054034733,0.0020017856301682855,0.8877399360067038,0.0513294138502621,0.0021840643539363185,0.8875975525656412,0.028905661126901936,0.0003,54.03250211300019
30,0.04929798320863957,0.0019679483338992197,0.8897995655425948,0.0480338771439632,0.0018401186830555158,0.8908069542044061,0.028579650970518462,0.0003,54.054703078999864
31,0.048578616136332735,0.0019194419755751218,0.8914623888675651,0.04852666790906269,0.0018923826226236074,0.8914256587341018,0.028517928927443748,0.0003,55.392597410000235
32,0.047862063073220905,0.0018854184039538285,0.8936489221598797,0.04883950324158084,0.0019798862224102145,0.8932313368385992,0.02840056086065401,0.0003,54.36093001299969
33,0.04716020947067006,0.0018453900755297642,0.8954731053026185,0.04647839365499468,0.0017904450892456995,0.8972365122768894,0.028187593031698252,0.0003,54.27009608499975
34,0.04691897464719931,0.0018409911006802982,0.8966429659356348,0.046350165721162934,0.001785498433382138,0.8974622866063995,0.028157591772507914,0.0003,54.456151856999895
35,0.04614545215735484,0.0017965788796906901,0.8985341449691108,0.04724901449132167,0.0018293462461352853,0.8948062197098521,0.02795045882715483,0.0003,53.96478252599991
36,0.04572479986540323,0.0017728880462568942,0.8996669960588993,0.04451383797581806,0.0016511654812078648,0.9009831904356878,0.02764765440976645,0.0003,55.245937226000024
37,0.04474137277339215,0.0017180500336630546,0.9020267612261789,0.045486435538303525,0.0017520349136067369,0.9022161591380645,0.027615374966227228,0.0003,55.36911898700009
38,0.04465054572809863,0.00171917773957764,0.902771712092014,0.04390483455098457,0.0016655339800356937,0.9043743054660127,0.02739663360675848,0.0003,54.10153477199992
39,0.043965256818288584,0.001681574530180202,0.9044688439315199,0.04400111745893325,0.0016922996306583192,0.9050684103754055,0.027412432263630892,0.0003,53.98426711100001
40,0.04354725959600031,0.0016588755527833985,0.9057560463858892,0.042595074242315636,0.0015866112349905374,0.9068740683176553,0.027275616629935218,0.0003,54.178788581999925
41,0.04300795648740615,0.0016345745821916926,0.9073668854962929,0.042387246479128685,0.0015954166162467657,0.9081974147994221,0.02715756277894369,0.0003,54.24691132599992
42,0.04230334269281557,0.0015937864212192687,0.9089916385988687,0.04096726737680193,0.0015004045466831383,0.9107398654139319,0.026855776106139317,0.0003,55.34526479899978
43,0.04203781144923424,0.0015825594469244641,0.9100144291383089,0.04167014941667654,0.001530432382039332,0.9103842133195406,0.02676976117724848,0.0003,54.56692476999979
44,0.04153641851224419,0.0015572421093727647,0.9114264752154712,0.04102277829770558,0.0015026590610651524,0.9119938381378545,0.026451257575326945,0.0003,54.018798524999966
45,0.041267579100342594,0.0015452711716123424,0.9123567658534542,0.03984994873656531,0.0014352118340468557,0.9141655052691131,0.02636594318215741,0.0003,54.08292725199999
46,0.04014076873373202,0.0014807049630922798,0.9148986297447577,0.04135013220489151,0.0015642960864979672,0.9135579364748384,0.026212038885778402,0.0003,53.91291266600001
47,0.039817139984763494,0.0014649942404161274,0.9159668307477189,0.040640826827312876,0.00153255444335068,0.9143299030703168,0.02638592596222936,0.0003,54.8522596759999
48,0.0391731045794244,0.0014317440180981263,0.9176121276745305,0.039009436744464124,0.0014105069374244258,0.9180584481856283,0.025885818380445052,0.0003,55.19445502999997
49,0.038805109524038345,0.0014108757828842186,0.9186406834074217,0.03885966949716179,0.0014459774263368538,0.9185744750827362,0.02606463985198648,0.0003,54.54997206300004
50,0.038471980280710104,0.001396534123746963,0.9195785019972856,0.0379602897904388,0.001371236360507838,0.9203570946326467,0.02577450707649328,0.0003,53.92964548399959
51,0.03835745601496097,0.0013953216248408112,0.9203217128530095,0.03771945574255877,0.0013334369651154157,0.92028454784107,0.025411797155789544,0.0003,54.084983574000034
52,0.037447726053195254,0.0013419017567756002,0.9221342631941608,0.03786083395114409,0.0013787167217684851,0.9217974857346453,0.025354955936083078,0.0003,53.783481719000065
53,0.037434159728908324,0.001346469871881223,0.9227361624670191,0.037628800960663254,0.001300953936036558,0.9194545521544604,0.025177131952367423,0.0003,54.93712300800007
54,0.03668276363074577,0.001305778607138615,0.9243210908915691,0.03712878853523706,0.001302292015222364,0.9237157517205333,0.02495606132560502,0.0003,55.01701324700025
55,0.036613606626963155,0.0013048704367896726,0.9248775041656883,0.035683253201130326,0.0012375587965686653,0.9256578860272817,0.024828927934043756,0.0003,53.87642235500016
56,0.035862263645618175,0.001264962069147044,0.9265275149761213,0.03569220757037086,0.0012409189355660065,0.9262701663608027,0.024629881247153495,0.0003,53.9364259619997
57,0.03557637758797724,0.001251281199039151,0.9274280808250064,0.03537522947876448,0.001235857250535148,0.9281026479053699,0.02460939826219329,0.0003,54.160143805999724
58,0.03546914078151788,0.0012485403277503067,0.927981012472345,0.037156113641962696,0.0013115558277098874,0.9241588685275637,0.024650944558308945,0.0003,54.50267978700049
59,0.03488570599398014,0.0012180814552221063,0.9292551246396817,0.033989443579574466,0.0011570662009996416,0.9302995667397094,0.024299719329553226,0.0003,55.0512162619998
60,0.034604561300199406,0.0012056193815487292,0.9301487543844825,0.03343366288893067,0.001133764195147642,0.9313521428037648,0.024228339829732198,0.0003,54.84881161300018
61,0.034232325200518825,0.001184243955628341,0.9309094889247674,0.0342282512270497,0.0011793865072078232,0.930846307040773,0.024264610957267674,0.0003,53.94956626400017
62,0.03409664315316037,0.0011774950675267645,0.9314168600776862,0.034831183767595954,0.001225417574875482,0.9291317208372766,0.0239454420720548,0.0003,54.0666521359999
63,0.03385063435456221,0.0011688986687687893,0.9322073211081301,0.03323370006415859,0.0011295199332203535,0.9325003113605508,0.023888814800574462,0.0003,53.88257688399972
64,0.03333512518474767,0.0011403538886824726,0.9333069865187864,0.035463583543424125,0.0012846132612395363,0.931847564009733,0.023963401027134054,0.0003,54.81539847099975
65,0.03332442465245656,0.0011406581078382844,0.933567190696807,0.032515073647962814,0.0010971649984059262,0.9343103293888665,0.02383373939997298,0.0003,55.23987330699947
66,0.03273995356678558,0.0011124195847428263,0.9348264147174183,0.034333457047982144,0.001213229842184714,0.9326582109953334,0.02355816809511714,0.0003,54.372664475999954
67,0.032691281332738804,0.0011136049139476882,0.9352780891031803,0.032184807571875876,0.0010860788411447035,0.9357667703961217,0.02370319951790332,0.0003,53.96982347499943
68,0.03239592359583753,0.0010951476208000768,0.935779582590101,0.03240970904145382,0.0010685322384879656,0.9351484599123545,0.0234964297647267,0.0003,53.80927762600004
69,0.03182225725945773,0.0010662930173929127,0.9370435359793908,0.03308016294121238,0.001154319956666351,0.9357257140111217,0.02356842743827475,0.0003,53.670777611999256
70,0.03181052205415436,0.001067643204154415,0.9372626416140477,0.03442000760746053,0.0012797168219741632,0.9359365672692184,0.023300430345610888,0.0003,54.42403538800045
71,0.031702046044010536,0.0010615259633343645,0.9376084568411416,0.0322700149869944,0.0011356792463891477,0.9371248208947212,0.023184646212399383,0.0003,55.56346167599986
72,0.03139838796543508,0.001049994339450291,0.9385128207546938,0.030629013481906303,0.00099433529393523,0.9392356277772287,0.02301782940221009,0.0003,54.07081823600038
73,0.031201069847609963,0.0010389516705442494,0.9389699669683506,0.030654355663073743,0.0009897990860084336,0.9389042757278265,0.022894366961326962,0.0003,54.01124954900024
74,0.03101543542862546,0.0010322014571669579,0.9395740418174934,0.030321397942670053,0.000976717318103001,0.9395088780253936,0.02277584362530935,0.0003,54.09578638899984
75,0.030509382446685707,0.0010060582239690237,0.940544437012073,0.0303135475352501,0.0009978189424515148,0.9406971989423981,0.022614016026321477,0.0003,54.09609904700028
76,0.030563927252828603,0.0010086234557439202,0.9406652256289533,0.0301023734690145,0.0009693722595041322,0.9404580015964791,0.022694492582664934,0.0003,55.35886128600032
77,0.030146701865126024,0.0009894482985888804,0.9416193926725895,0.03071905088160053,0.0010073644007668372,0.9400305453112967,0.022543577048100578,0.0003,54.75477542099998
78,0.029972141340695584,0.0009805032293104471,0.9420453148952022,0.0312111554450767,0.0010719686868673399,0.9405562950743177,0.02259386436773531,0.0003,54.2604135319998
79,0.03002411404272303,0.0009879111763620421,0.9423010550835934,0.02957003040684202,0.0009579012228518598,0.942673691483431,0.02239232355961084,0.0003,54.04560598799981
80,0.029537905664905686,0.0009603598217573755,0.94313762444467,0.02950212872148064,0.0009543533578719826,0.9424500116334154,0.02235100267112381,0.0003,54.3626339880002
